text,label
o técnico veio e fez um serviço porco por favor,2
"olha, estou cansado de falar com robô no atendimento por favor",2
já abri 5 protocolos e ninguém resolve nada hoje,3
não tô conseguindo usar o app de vocês me ajuda,1
vocês cobram caro e entregam um serviço péssimo me ajuda,2
tem alguma promoção nova no meu plano atual? de novo,0
cansei de reclamar e nada muda de novo,2
"poxa, minha internet está bem lenta hoje ...",1
"isso já aconteceu outras vezes, estou ficando irritado agora",2
"vocês só sabem cobrar, mas não entregam serviço me ajuda",3
tem alguma promoção nova no meu plano atual?,0
vocês cobram caro e entregam um serviço péssimo,2
"sinceramente, oi, tudo bem? quero verificar meu consumo agora",0
"gente, tá difícil falar com alguém do suporte por favor",1
"olá, quero entender melhor meu contrato de novo",0
"bom dia, gostaria de uma informação sobre meu plano hoje",0
"se não resolverem agora, vou pra concorrente",3
"olha, vocês me fazem perder tempo e paciência",3
"sinceramente, estou cansado de falar com robô no atendimento por favor",2
"preciso de ajuda com a fatura, mas sem urgência ...",0
"por favor, não tô conseguindo usar o app de vocês me ajuda",1
vocês poderiam me mandar a última fatura? !!!,0
"por favor, gostaria de confirmar a data da minha instalação hoje",0
tem alguma promoção nova no meu plano atual?,0
"sinceramente, oi, poderiam me ajudar por favor? !!!",0
já abri 5 protocolos e ninguém resolve nada de novo,3
não tem um dia que funcione direito essa internet,2
tá difícil falar com alguém do suporte me ajuda 😡 ,1
"sinceramente, já abri 5 protocolos e ninguém resolve nada agora",3
vocês cobram caro e entregam um serviço péssimo !!!,2
estou completamente insatisfeito com vocês tá difícil,3
"por favor, me prometeram uma ligação e não retornaram agora",1
"olha, já tentei ligar e ninguém me atende, poderiam me ajudar aqui? ...",1
o técnico veio e fez um serviço porco de novo,2
gostaria de confirmar a data da minha instalação,0
"isso é um absurdo, vou processar essa empresa",3
não tô conseguindo usar o app de vocês,1
tentei resolver isso ontem e ainda nada,1
já virou rotina minha internet cair à noite tá difícil,1
"sinceramente, isso já aconteceu outras vezes, estou ficando irritado tá difícil",2
"preciso de ajuda com a fatura, mas sem urgência",0
"gente, se não resolverem agora, vou pra concorrente tá difícil",3
"ninguém resolve meu problema, sempre empurram pra outro setor",2
"olha, há dias tento resolver isso e só enrolam me ajuda",2
estou completamente insatisfeito com vocês !!!,3
"sinceramente, preciso de ajuda com a fatura, mas sem urgência ...",0
cansei de reclamar e nada muda,2
gostaria de confirmar a data da minha instalação ...,0
"olha, isso é um absurdo, vou processar essa empresa tá difícil",3
fui mal atendido na última ligação ...,1
vocês cobram caro e entregam um serviço péssimo de novo,2
"sinceramente, oi, poderiam me ajudar por favor? por favor",0
não tô conseguindo usar o app de vocês me ajuda,1
o técnico veio e fez um serviço porco,2
"preciso de ajuda com a fatura, mas sem urgência",0
quero saber se posso mudar meu plano tá difícil,0
tá difícil falar com alguém do suporte ...,1
nunca mais contrato nada com essa operadora,3
estou completamente insatisfeito com vocês,3
"poxa, minha internet está bem lenta hoje",1
"olá, quero entender melhor meu contrato",0
"é sempre a mesma coisa, ninguém faz nada! agora",3
"por favor, gostaria de confirmar a data da minha instalação por favor",0
vocês me fazem perder tempo e paciência,3
"vocês só sabem cobrar, mas não entregam serviço !!!",3
me prometeram uma ligação e não retornaram de novo,1
"por favor, bom dia, gostaria de uma informação sobre meu plano",0
o técnico veio e fez um serviço porco agora,2
me sinto desrespeitado como cliente !!!,2
"bom dia, gostaria de uma informação sobre meu plano",0
me sinto desrespeitado como cliente ...,2
"gente, cansei de reclamar e nada muda de novo",2
"por favor, meu sinal fica caindo toda hora, tá complicado por favor",1
"meu sinal fica caindo toda hora, tá complicado",1
há dias tento resolver isso e só enrolam,2
"gente, vocês poderiam me mandar a última fatura? hoje",0
"já tentei ligar e ninguém me atende, poderiam me ajudar aqui?",1
"por favor, ninguém resolve meu problema, sempre empurram pra outro setor me ajuda",2
"oi, tudo bem? quero verificar meu consumo agora",0
"tudo certo com meu atendimento anterior, só uma dúvida",0
não tem um dia que funcione direito essa internet hoje,2
já virou rotina minha internet cair à noite de novo,1
tem alguma promoção nova no meu plano atual? agora,0
"minha internet está horrível, instável o dia inteiro me ajuda",2
estou completamente insatisfeito com vocês agora,3
"por favor, é sempre a mesma coisa, ninguém faz nada!",3
"já entrei com reclamação no PROCON, chega de novo",3
fui mal atendido na última ligação,1
"vocês só sabem cobrar, mas não entregam serviço agora",3
"poxa, minha internet está bem lenta hoje",1
me cobraram errado de novo esse mês,1
"olha, tudo certo com meu atendimento anterior, só uma dúvida hoje",0
"se isso não for resolvido hoje, vou cancelar tudo",3
"por favor, estou cansado de falar com robô no atendimento",2
"é sempre a mesma coisa, ninguém faz nada!",3
tentei resolver isso ontem e ainda nada de novo,1
"se não resolverem agora, vou pra concorrente por favor",3
"gente, se não resolverem agora, vou pra concorrente agora",3
"isso é um absurdo, vou processar essa empresa hoje",3
"olha, me cobraram errado de novo esse mês",1
"oi, tudo bem? quero verificar meu consumo",0
nunca mais contrato nada com essa operadora por favor,3
"já entrei com reclamação no PROCON, chega",3
já virou rotina minha internet cair à noite,1
"olha, oi, tudo bem? quero verificar meu consumo hoje",0
"isso já aconteceu outras vezes, estou ficando irritado",2
"gente, fui mal atendido na última ligação de novo",1
"gente, olá, quero entender melhor meu contrato hoje",0
tá difícil falar com alguém do suporte,1
quero saber se posso mudar meu plano,0
me cobraram errado de novo esse mês,1
"por favor, já tentei ligar e ninguém me atende, poderiam me ajudar aqui? hoje",1
"vocês só sabem cobrar, mas não entregam serviço",3
"gente, isso já aconteceu outras vezes, estou ficando irritado ...",2
"sinceramente, cansei de reclamar e nada muda tá difícil",2
"minha internet está horrível, instável o dia inteiro",2
"já entrei com reclamação no PROCON, chega de novo",3
"é sempre a mesma coisa, ninguém faz nada! hoje",3
me sinto desrespeitado como cliente,2
vocês poderiam me mandar a última fatura?,0
"minha internet está horrível, instável o dia inteiro tá difícil",2
"tudo certo com meu atendimento anterior, só uma dúvida hoje",0
já virou rotina minha internet cair à noite hoje,1
"olha, vocês me fazem perder tempo e paciência me ajuda",3
"tudo certo com meu atendimento anterior, só uma dúvida",0
quero saber se posso mudar meu plano agora,0
vocês poderiam me mandar a última fatura? por favor,0
tentei resolver isso ontem e ainda nada ...,1
"olha, se isso não for resolvido hoje, vou cancelar tudo",3
"isso é um absurdo, vou processar essa empresa",3
"por favor, me cobraram errado de novo esse mês agora",1
"meu sinal fica caindo toda hora, tá complicado agora",1
não tem um dia que funcione direito essa internet por favor,2
"já tentei ligar e ninguém me atende, poderiam me ajudar aqui? de novo",1
vocês me fazem perder tempo e paciência de novo,3
"sinceramente, me prometeram uma ligação e não retornaram !!!",1
me prometeram uma ligação e não retornaram,1
estou cansado de falar com robô no atendimento,2
"por favor, oi, poderiam me ajudar por favor? de novo",0
fui mal atendido na última ligação ...,1
"sinceramente, já entrei com reclamação no PROCON, chega hoje",3
nunca mais contrato nada com essa operadora,3
"olha, quero saber se posso mudar meu plano !!!",0
"olha, se isso não for resolvido hoje, vou cancelar tudo de novo",3
"oi, poderiam me ajudar por favor?",0
"gente, tentei resolver isso ontem e ainda nada ...",1
"se isso não for resolvido hoje, vou cancelar tudo de novo",3
"minha internet está horrível, instável o dia inteiro tá difícil",2
me sinto desrespeitado como cliente tá difícil,2
"por favor, há dias tento resolver isso e só enrolam agora",2
não tem um dia que funcione direito essa internet,2
"meu sinal fica caindo toda hora, tá complicado agora",1
já abri 5 protocolos e ninguém resolve nada,3
"olha, nunca mais contrato nada com essa operadora me ajuda",3
"bom dia, gostaria de uma informação sobre meu plano hoje",0
"poxa, minha internet está bem lenta hoje agora",1
"gente, há dias tento resolver isso e só enrolam",2
"por favor, olá, quero entender melhor meu contrato",0
"ninguém resolve meu problema, sempre empurram pra outro setor !!!",2
"ninguém resolve meu problema, sempre empurram pra outro setor",2
"gente, isso é um absurdo, vou processar essa empresa",3
"olá, tudo bem? preciso verificar meu saldo disponível.",0
"estou sem internet desde ontem, isso é inaceitável!",3
me prometeram um desconto que não apareceu na fatura,2
"por favor, poderia verificar se há cobrança pendente?",0
o serviço de vocês cai toda tarde estou cansado,2
"sinceramente, é impossível assistir streaming com essa internet",2
"gostaria de saber sobre o 5G na minha região, é possível?",0
"já pedi três vezes para cancelar e continuam cobrando, absurdo!",3
"minha conexão está instável desde ontem, podem verificar?",1
"olá, só queria confirmar o valor da próxima fatura",0
vocês prometem resolver mas nunca cumprem os prazos,2
"vou trocar de operadora hoje mesmo, perdi a paciência",3
"é possível adicionar uma linha adicional no meu plano?",0
o técnico não apareceu no horário marcado de novo,1
precisava de uma solução urgente e ninguém me atende,2
"olha, está impossível trabalhar com essa internet",2
"bom dia, gostaria de saber sobre os planos de TV",0
"me ajudem, não consigo acessar minha conta online",1
três dias sem sinal e ninguém me dá uma posição,3
"esse atendimento é péssimo",2
Tenho enfrentado dificuldades constantes com o serviço.,1
O suporte técnico está demorando para responder.,1
Tentei entrar em contato por telefone e não consegui.,1
Estou extremamente insatisfeito com o atendimento prestado.,2
Estou com dúvida sobre o limite de dados do meu plano.,0
Estou aguardando retorno de um atendimento anterior.,1
Chega! Já esperei tempo demais.,3
Nenhuma das soluções apresentadas resolveu meu problema.,2
"Não há mais justificativas possíveis, quero o cancelamento imediato.",3
Existe alguma promoção para clientes antigos?,0
A operadora não cumpre o que promete no contrato.,2
Quero saber se há cobrança adicional pelo suporte técnico.,0
Fiz uma solicitação e ainda não foi atendida.,1
Já registrei uma queixa formal no PROCON.,3
Não suporto mais o descaso com o cliente.,3
Qual é o valor da minha mensalidade este mês?,0
Minha conexão tem oscilado frequentemente nas últimas semanas.,1
Estou me sentindo ignorado pelo suporte.,2
"Olá, tudo bem? Gostaria de saber qual é o vencimento da minha fatura.",0
Vocês estão me forçando a cancelar o serviço por falta de solução.,3
